Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Rain_Detected
19.0,2025-02-10,14:59:25,31.6,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
20.0,2025-02-10,14:59:27,31.6,45.0,392.77,9.06,3.63,6.04,291.01,30.21,60.43,89.0,53.0,89.0,No
21.0,2025-02-10,14:59:29,31.6,45.0,392.77,9.06,3.63,6.04,291.01,30.21,60.43,89.0,53.0,89.0,No
22.0,2025-02-10,14:59:31,31.6,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
23.0,2025-02-10,14:59:33,31.6,45.0,387.96,8.95,3.58,5.97,288.27,29.84,59.69,88.0,53.0,88.0,No
24.0,2025-02-10,14:59:35,31.6,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
25.0,2025-02-10,14:59:37,31.6,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
26.0,2025-02-10,14:59:40,31.6,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
27.0,2025-02-10,14:59:42,31.6,45.0,392.77,9.06,3.63,6.04,291.01,30.21,60.43,89.0,53.0,89.0,No
28.0,2025-02-10,14:59:44,31.6,45.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
29.0,2025-02-10,14:59:46,31.6,45.0,393.98,9.09,3.64,6.06,291.7,30.31,60.61,89.0,53.0,89.0,No
30.0,2025-02-10,14:59:48,31.6,45.0,395.21,9.12,3.65,6.08,292.4,30.4,60.8,89.0,53.0,89.0,No
31.0,2025-02-10,14:59:50,31.7,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
32.0,2025-02-10,14:59:52,31.7,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
33.0,2025-02-10,14:59:54,31.7,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
34.0,2025-02-10,14:59:56,31.7,45.0,392.77,9.06,3.63,6.04,291.01,30.21,60.43,89.0,53.0,89.0,No
35.0,2025-02-10,14:59:58,31.7,45.0,387.96,8.95,3.58,5.97,288.27,29.84,59.69,88.0,53.0,88.0,No
36.0,2025-02-10,15:00:00,31.7,45.0,393.98,9.09,3.64,6.06,291.7,30.31,60.61,89.0,53.0,89.0,No
37.0,2025-02-10,15:00:02,31.7,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
38.0,2025-02-10,15:00:04,31.7,45.0,392.77,9.06,3.63,6.04,291.01,30.21,60.43,89.0,53.0,89.0,No
39.0,2025-02-10,15:00:06,31.7,45.0,383.26,8.84,3.54,5.9,285.58,29.48,58.96,87.0,52.0,87.0,No
40.0,2025-02-10,15:00:09,31.7,45.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
41.0,2025-02-10,15:00:11,31.7,45.0,383.26,8.84,3.54,5.9,285.58,29.48,58.96,87.0,52.0,87.0,No
42.0,2025-02-10,15:00:13,31.7,45.0,392.77,9.06,3.63,6.04,291.01,30.21,60.43,89.0,53.0,89.0,No
43.0,2025-02-10,15:00:15,31.7,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
44.0,2025-02-10,15:00:17,31.7,45.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
45.0,2025-02-10,15:00:19,31.7,45.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
46.0,2025-02-10,15:00:21,31.7,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
47.0,2025-02-10,15:00:23,31.7,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
48.0,2025-02-10,15:00:25,31.7,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
49.0,2025-02-10,15:00:27,31.7,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
50.0,2025-02-10,15:00:29,31.7,45.0,384.43,8.87,3.55,5.91,286.25,29.57,59.14,87.0,53.0,87.0,No
51.0,2025-02-10,15:00:31,31.7,45.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
52.0,2025-02-10,15:00:33,31.7,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
53.0,2025-02-10,15:00:35,31.7,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
54.0,2025-02-10,15:00:38,31.7,45.0,384.43,8.87,3.55,5.91,286.25,29.57,59.14,87.0,53.0,87.0,No
55.0,2025-02-10,15:00:40,31.8,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
56.0,2025-02-10,15:00:42,31.8,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
57.0,2025-02-10,15:00:44,31.8,45.0,384.43,8.87,3.55,5.91,286.25,29.57,59.14,87.0,53.0,87.0,No
58.0,2025-02-10,15:00:46,31.8,45.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
59.0,2025-02-10,15:00:48,31.8,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
60.0,2025-02-10,15:00:50,31.8,45.0,387.96,8.95,3.58,5.97,288.27,29.84,59.69,88.0,53.0,88.0,No
61.0,2025-02-10,15:00:52,31.8,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
62.0,2025-02-10,15:00:54,31.8,45.0,387.96,8.95,3.58,5.97,288.27,29.84,59.69,88.0,53.0,88.0,No
63.0,2025-02-10,15:00:56,31.8,45.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
64.0,2025-02-10,15:00:58,31.8,45.0,384.43,8.87,3.55,5.91,286.25,29.57,59.14,87.0,53.0,87.0,No
65.0,2025-02-10,15:01:00,31.8,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
66.0,2025-02-10,15:01:02,31.8,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
67.0,2025-02-10,15:01:05,31.8,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
68.0,2025-02-10,15:01:07,31.8,45.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
69.0,2025-02-10,15:01:09,31.8,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
70.0,2025-02-10,15:01:11,31.8,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
71.0,2025-02-10,15:01:13,31.8,45.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
72.0,2025-02-10,15:01:15,31.8,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
73.0,2025-02-10,15:01:17,31.8,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
74.0,2025-02-10,15:01:19,31.8,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
75.0,2025-02-10,15:01:21,31.8,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
76.0,2025-02-10,15:01:23,31.8,45.0,392.77,9.06,3.63,6.04,291.01,30.21,60.43,89.0,53.0,89.0,No
77.0,2025-02-10,15:01:25,31.8,45.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
78.0,2025-02-10,15:01:27,31.8,45.0,379.81,8.76,3.51,5.84,283.6,29.22,58.43,86.0,52.0,86.0,No
79.0,2025-02-10,15:01:29,31.8,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
80.0,2025-02-10,15:01:31,31.8,45.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
81.0,2025-02-10,15:01:34,31.8,45.0,384.43,8.87,3.55,5.91,286.25,29.57,59.14,87.0,53.0,87.0,No
82.0,2025-02-10,15:01:36,31.8,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
83.0,2025-02-10,15:01:38,31.8,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
84.0,2025-02-10,15:01:40,31.8,45.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
85.0,2025-02-10,15:01:42,31.8,45.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
86.0,2025-02-10,15:01:44,31.8,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
87.0,2025-02-10,15:01:46,31.8,45.0,384.43,8.87,3.55,5.91,286.25,29.57,59.14,87.0,53.0,87.0,No
88.0,2025-02-10,15:01:48,31.8,45.0,384.43,8.87,3.55,5.91,286.25,29.57,59.14,87.0,53.0,87.0,No
89.0,2025-02-10,15:01:50,31.8,45.0,379.81,8.76,3.51,5.84,283.6,29.22,58.43,86.0,52.0,86.0,No
90.0,2025-02-10,15:01:52,31.9,45.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
91.0,2025-02-10,15:01:55,31.9,45.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
92.0,2025-02-10,15:01:57,31.9,45.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
93.0,2025-02-10,15:01:59,31.9,45.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
94.0,2025-02-10,15:02:01,31.9,45.0,383.26,8.84,3.54,5.9,285.58,29.48,58.96,87.0,52.0,87.0,No
95.0,2025-02-10,15:02:03,31.9,45.0,387.96,8.95,3.58,5.97,288.27,29.84,59.69,88.0,53.0,88.0,No
96.0,2025-02-10,15:02:05,31.9,45.0,385.6,8.9,3.56,5.93,286.92,29.66,59.32,87.0,53.0,87.0,No
97.0,2025-02-10,15:02:07,31.9,45.0,379.81,8.76,3.51,5.84,283.6,29.22,58.43,86.0,52.0,86.0,No
98.0,2025-02-10,15:02:09,31.9,45.0,380.95,8.79,3.52,5.86,284.25,29.3,58.61,87.0,52.0,87.0,No
99.0,2025-02-10,15:02:11,31.9,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
100.0,2025-02-10,15:02:13,31.9,45.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
1.0,2025-02-10,15:02:16,31.9,45.0,396.44,9.15,3.66,6.1,293.1,30.5,60.99,89.0,53.0,89.0,No
1.0,2025-02-10,15:02:18,31.9,45.0,395.21,9.12,3.65,6.08,292.4,30.4,60.8,89.0,53.0,89.0,No
2.0,2025-02-10,15:02:21,31.9,45.0,393.98,9.09,3.64,6.06,291.7,30.31,60.61,89.0,53.0,89.0,No
3.0,2025-02-10,15:02:23,31.9,45.0,401.44,9.26,3.71,6.18,295.94,30.88,61.76,90.0,54.0,90.0,No
4.0,2025-02-10,15:02:25,31.9,45.0,383.26,8.84,3.54,5.9,285.58,29.48,58.96,87.0,52.0,87.0,No
1.0,2025-02-10,15:02:28,31.9,45.0,401.44,9.26,3.71,6.18,295.94,30.88,61.76,90.0,54.0,90.0,No
1.0,2025-02-10,15:02:30,31.9,45.0,395.21,9.12,3.65,6.08,292.4,30.4,60.8,89.0,53.0,89.0,No
2.0,2025-02-10,15:02:32,31.9,45.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
1.0,2025-02-10,15:02:34,31.9,45.0,405.26,9.35,3.74,6.23,298.1,31.17,62.35,91.0,54.0,91.0,No
1.0,2025-02-10,15:02:37,31.9,45.0,403.98,9.32,3.73,6.22,297.38,31.08,62.15,90.0,54.0,90.0,No
1.0,2025-02-10,15:02:55,32.0,45.0,413.12,9.53,3.81,6.36,302.54,31.78,63.56,92.0,55.0,92.0,No
1.0,2025-02-10,15:02:57,32.0,45.0,395.21,9.12,3.65,6.08,292.4,30.4,60.8,89.0,53.0,89.0,No
1.0,2025-02-10,15:04:39,32.0,46.0,436.96,10.08,4.03,6.72,315.88,33.61,67.23,96.0,57.0,96.0,No
1.0,2025-02-10,15:04:53,32.0,46.0,442.95,10.22,4.09,6.81,319.2,34.07,68.15,97.0,57.0,97.0,No
1.0,2025-02-10,15:04:55,32.0,46.0,432.57,9.98,3.99,6.65,313.43,33.27,66.55,95.0,56.0,95.0,No
2.0,2025-02-10,15:04:57,32.0,46.0,418.51,9.66,3.86,6.44,305.57,32.19,64.39,93.0,55.0,93.0,No
3.0,2025-02-10,15:04:59,32.0,46.0,419.88,9.69,3.88,6.46,306.34,32.3,64.6,93.0,55.0,93.0,No
4.0,2025-02-10,15:05:01,32.0,46.0,398.92,9.21,3.68,6.14,294.51,30.69,61.37,90.0,54.0,90.0,No
5.0,2025-02-10,15:05:03,32.0,46.0,400.18,9.23,3.69,6.16,295.22,30.78,61.57,90.0,54.0,90.0,No
6.0,2025-02-10,15:05:06,32.0,46.0,389.15,8.98,3.59,5.99,288.95,29.93,59.87,88.0,53.0,88.0,No
7.0,2025-02-10,15:05:08,32.0,46.0,391.55,9.04,3.61,6.02,290.32,30.12,60.24,88.0,53.0,88.0,No
8.0,2025-02-10,15:05:10,32.0,46.0,390.35,9.01,3.6,6.01,289.63,30.03,60.05,88.0,53.0,88.0,No
9.0,2025-02-10,15:05:12,32.0,46.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
10.0,2025-02-10,15:05:14,32.0,46.0,384.43,8.87,3.55,5.91,286.25,29.57,59.14,87.0,53.0,87.0,No
11.0,2025-02-10,15:05:16,32.0,46.0,380.95,8.79,3.52,5.86,284.25,29.3,58.61,87.0,52.0,87.0,No
12.0,2025-02-10,15:05:18,32.0,46.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
13.0,2025-02-10,15:05:20,32.0,46.0,386.78,8.93,3.57,5.95,287.59,29.75,59.5,88.0,53.0,88.0,No
14.0,2025-02-10,15:05:22,32.0,46.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
15.0,2025-02-10,15:05:24,32.0,46.0,383.26,8.84,3.54,5.9,285.58,29.48,58.96,87.0,52.0,87.0,No
16.0,2025-02-10,15:05:26,32.0,46.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
17.0,2025-02-10,15:05:28,32.0,46.0,384.43,8.87,3.55,5.91,286.25,29.57,59.14,87.0,53.0,87.0,No
18.0,2025-02-10,15:05:30,32.1,46.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
19.0,2025-02-10,15:05:33,32.1,46.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
20.0,2025-02-10,15:05:35,32.1,46.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
21.0,2025-02-10,15:05:37,32.1,46.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
22.0,2025-02-10,15:05:39,32.1,46.0,383.26,8.84,3.54,5.9,285.58,29.48,58.96,87.0,52.0,87.0,No
23.0,2025-02-10,15:05:41,32.1,46.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
24.0,2025-02-10,15:05:43,32.1,46.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
25.0,2025-02-10,15:05:45,32.1,46.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
26.0,2025-02-10,15:05:47,32.1,46.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
27.0,2025-02-10,15:05:49,32.1,46.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
28.0,2025-02-10,15:05:51,32.1,46.0,379.81,8.76,3.51,5.84,283.6,29.22,58.43,86.0,52.0,86.0,No
29.0,2025-02-10,15:05:53,32.1,46.0,379.81,8.76,3.51,5.84,283.6,29.22,58.43,86.0,52.0,86.0,No
30.0,2025-02-10,15:05:55,32.1,46.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
31.0,2025-02-10,15:05:58,32.1,47.0,380.95,8.79,3.52,5.86,284.25,29.3,58.61,87.0,52.0,87.0,No
32.0,2025-02-10,15:06:00,32.1,47.0,383.26,8.84,3.54,5.9,285.58,29.48,58.96,87.0,52.0,87.0,No
33.0,2025-02-10,15:06:02,32.1,47.0,379.81,8.76,3.51,5.84,283.6,29.22,58.43,86.0,52.0,86.0,No
34.0,2025-02-10,15:06:04,32.1,46.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
35.0,2025-02-10,15:06:06,32.1,46.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
36.0,2025-02-10,15:06:08,32.1,46.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
37.0,2025-02-10,15:06:10,32.1,46.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
38.0,2025-02-10,15:06:12,32.1,46.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
39.0,2025-02-10,15:06:14,32.1,47.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
40.0,2025-02-10,15:06:16,32.1,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
41.0,2025-02-10,15:06:18,32.1,47.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
42.0,2025-02-10,15:06:20,32.1,47.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
43.0,2025-02-10,15:06:23,32.1,47.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
44.0,2025-02-10,15:06:25,32.1,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
45.0,2025-02-10,15:06:27,32.1,47.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
46.0,2025-02-10,15:06:29,32.1,47.0,379.81,8.76,3.51,5.84,283.6,29.22,58.43,86.0,52.0,86.0,No
47.0,2025-02-10,15:06:31,32.1,47.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
48.0,2025-02-10,15:06:33,32.1,47.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
49.0,2025-02-10,15:06:35,32.1,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
50.0,2025-02-10,15:06:37,32.1,47.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
51.0,2025-02-10,15:06:39,32.2,47.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
52.0,2025-02-10,15:06:41,32.2,47.0,382.11,8.82,3.53,5.88,284.91,29.39,58.79,87.0,52.0,87.0,No
53.0,2025-02-10,15:06:43,32.2,47.0,380.95,8.79,3.52,5.86,284.25,29.3,58.61,87.0,52.0,87.0,No
54.0,2025-02-10,15:06:46,32.2,47.0,379.81,8.76,3.51,5.84,283.6,29.22,58.43,86.0,52.0,86.0,No
55.0,2025-02-10,15:06:48,32.2,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
56.0,2025-02-10,15:06:50,32.2,47.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
57.0,2025-02-10,15:06:52,32.2,47.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
58.0,2025-02-10,15:06:54,32.2,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
59.0,2025-02-10,15:06:56,32.2,47.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
60.0,2025-02-10,15:06:58,32.2,47.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
61.0,2025-02-10,15:07:00,32.2,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
62.0,2025-02-10,15:07:02,32.2,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
63.0,2025-02-10,15:07:04,32.2,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
64.0,2025-02-10,15:07:06,32.2,47.0,379.81,8.76,3.51,5.84,283.6,29.22,58.43,86.0,52.0,86.0,No
65.0,2025-02-10,15:07:08,32.2,47.0,379.81,8.76,3.51,5.84,283.6,29.22,58.43,86.0,52.0,86.0,No
66.0,2025-02-10,15:07:11,32.2,47.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
67.0,2025-02-10,15:07:13,32.2,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
68.0,2025-02-10,15:07:15,32.2,47.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
69.0,2025-02-10,15:07:17,32.2,47.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
70.0,2025-02-10,15:07:19,32.2,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
71.0,2025-02-10,15:07:21,32.2,47.0,377.54,8.71,3.48,5.81,282.29,29.04,58.08,86.0,52.0,86.0,No
72.0,2025-02-10,15:07:23,32.2,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
73.0,2025-02-10,15:07:25,32.2,47.0,379.81,8.76,3.51,5.84,283.6,29.22,58.43,86.0,52.0,86.0,No
74.0,2025-02-10,15:07:27,32.2,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
75.0,2025-02-10,15:07:29,32.2,47.0,378.67,8.74,3.5,5.83,282.94,29.13,58.26,86.0,52.0,86.0,No
76.0,2025-02-10,15:07:31,32.2,47.0,376.41,8.69,3.47,5.79,281.64,28.95,57.91,86.0,52.0,86.0,No
